region,year,capacity
p11,2014,341.79
p111,2014,2.49
p112,2014,0.1
p12,2014,247.5
p123,2014,4.4
p126,2014,40.9
p127,2014,7.6
p129,2014,19.9
p131,2014,84.5
p132,2014,6.0
p28,2014,153.2
p29,2014,74.5
p33,2014,1.6
p34,2014,3.1
p47,2014,59.8
p66,2014,54.3
p7,2014,2.9
p72,2014,9.4
p80,2014,0.3
p84,2014,2.8
p9,2014,1.83
p92,2014,31.6
p94,2014,12.1
p97,2014,59.4
p98,2014,317.2
p10,2015,1026.92
p101,2015,9.5
p103,2015,1.0
p105,2015,11.8
p107,2015,22.7
p11,2015,177.58
p111,2015,5.1
p12,2015,195.34
p121,2015,2.1
p123,2015,44.1
p125,2015,1.2
p126,2015,63.6
p127,2015,24.0
p129,2015,2.0
p13,2015,36.06
p131,2015,29.12
p25,2015,159.2
p26,2015,5.9
p28,2015,105.0
p29,2015,15.6
p31,2015,26.8
p33,2015,4.0
p34,2015,61.9
p43,2015,2.3
p47,2015,33.2
p50,2015,2.5
p53,2015,0.9
p57,2015,2.0
p63,2015,1.2
p66,2015,135.7
p7,2015,5.0
p72,2015,5.6
p81,2015,0.9
p83,2015,4.7
p85,2015,12.0
p9,2015,13.7
p90,2015,30.0
p94,2015,145.5
p97,2015,73.9
p98,2015,820.3
p10,2016,2448.72
p101,2016,94.3
p102,2016,149.0
p103,2016,10.9
p105,2016,20.4
p107,2016,11.8
p11,2016,70.19
p110,2016,10.0
p111,2016,4.5
p12,2016,579.5
p122,2016,5.0
p123,2016,47.2
p126,2016,91.2
p127,2016,39.2
p129,2016,24.7
p13,2016,50.1
p131,2016,52.0
p132,2016,14.2
p16,2016,120.0
p25,2016,556.4
p26,2016,133.0
p28,2016,68.3
p29,2016,311.1
p33,2016,41.0
p34,2016,185.8
p38,2016,1.0
p41,2016,6.3
p42,2016,2.7
p43,2016,243.2
p47,2016,164.4
p5,2016,15.9
p57,2016,257.5
p58,2016,1.1
p63,2016,1.0
p66,2016,5.0
p68,2016,11.9
p7,2016,65.1
p70,2016,4.1
p72,2016,5.6
p79,2016,2.1
p83,2016,2.0
p84,2016,5.8
p85,2016,1.0
p88,2016,3.1
p9,2016,1.5
p90,2016,75.0
p92,2016,24.0
p94,2016,724.4
p96,2016,16.8
p97,2016,67.3
p98,2016,699.6
p99,2016,139.0
p10,2017,771.2
p101,2017,192.6
p103,2017,61.5
p105,2017,14.82
p107,2017,21.38
p11,2017,106.1
p110,2017,15.2
p111,2017,20.0
p112,2017,4.9
p12,2017,473.6
p121,2017,2.2
p123,2017,2.8
p125,2017,1.2
p126,2017,43.9
p127,2017,46.1
p129,2017,8.5
p13,2017,8.5
p131,2017,91.0
p132,2017,11.0
p134,2017,15.5
p16,2017,120.0
p26,2017,1.3
p28,2017,68.9
p29,2017,34.5
p33,2017,6.5
p34,2017,33.6
p35,2017,17.0
p41,2017,9.4
p42,2017,4.5
p43,2017,214.9
p47,2017,45.0
p5,2017,69.28
p50,2017,18.0
p53,2017,3.0
p57,2017,381.7
p63,2017,10.5
p66,2017,274.9
p68,2017,32.0
p7,2017,55.02
p70,2017,4.7
p72,2017,7.5
p75,2017,13.3
p79,2017,2.0
p84,2017,10.9
p85,2017,6.0
p88,2017,157.5
p9,2017,1.9
p90,2017,97.2
p92,2017,16.0
p94,2017,14.4
p96,2017,236.3
p97,2017,28.9
p98,2017,964.2
p99,2017,288.6
p10,2018,926.8
p101,2018,804.2
p102,2018,74.9
p103,2018,25.2
p105,2018,7.8
p107,2018,9.4
p11,2018,20.0
p111,2018,3.7
p112,2018,10.4
p12,2018,21.4
p122,2018,4.5
p123,2018,100.9
p125,2018,2.6
p126,2018,72.1
p127,2018,112.7
p128,2018,24.9
p129,2018,28.8
p13,2018,1.7
p131,2018,55.3
p132,2018,56.3
p24,2018,92.0
p25,2018,2.0
p28,2018,21.0
p29,2018,59.3
p3,2018,19.2
p31,2018,21.0
p33,2018,56.0
p34,2018,14.5
p41,2018,2.3
p42,2018,11.0
p43,2018,191.6
p47,2018,18.0
p5,2018,32.2
p50,2018,10.0
p57,2018,603.0
p63,2018,30.0
p66,2018,27.6
p68,2018,25.8
p7,2018,54.1
p72,2018,9.4
p75,2018,3.5
p84,2018,4.1
p85,2018,84.0
p9,2018,3.0
p90,2018,14.7
p92,2018,89.0
p94,2018,42.0
p96,2018,90.4
p97,2018,34.6
p98,2018,691.9
p99,2018,58.0
p10,2019,936.6
p101,2019,579.97
p102,2019,157.93
p103,2019,1.8
p105,2019,21.7
p107,2019,6.4
p11,2019,26.0
p110,2019,1.7
p111,2019,1.9
p112,2019,18.9
p12,2019,717.75
p122,2019,20.1
p123,2019,38.2
p124,2019,142.4
p125,2019,3.0
p126,2019,84.5
p127,2019,228.0
p128,2019,5.0
p129,2019,2.2
p13,2019,4.05
p130,2019,2.4
p131,2019,70.7
p132,2019,42.4
p133,2019,64.1
p26,2019,57.6
p28,2019,2.4
p29,2019,29.8
p31,2019,21.6
p33,2019,20.3
p34,2019,49.7
p41,2019,5.3
p42,2019,12.8
p43,2019,108.3
p47,2019,88.1
p5,2019,4.4
p53,2019,6.0
p57,2019,12.5
p58,2019,23.4
p63,2019,15.0
p66,2019,469.5
p68,2019,31.0
p7,2019,83.5
p70,2019,6.1
p75,2019,14.1
p79,2019,4.5
p80,2019,1.5
p81,2019,1.3
p83,2019,1.6
p84,2019,1.6
p85,2019,3.2
p88,2019,57.5
p92,2019,2.3
p94,2019,443.0
p96,2019,303.1
p97,2019,46.4
p98,2019,459.3
p99,2019,19.8
p10,2020,1442.4
p101,2020,521.5
p102,2020,1118.2
p103,2020,108.0
p105,2020,37.8
p107,2020,10.3
p112,2020,2.6
p12,2020,241.88
p121,2020,1.0
p122,2020,68.0
p123,2020,38.7
p124,2020,165.0
p126,2020,90.6
p127,2020,224.1
p129,2020,2.2
p13,2020,18.12
p131,2020,55.5
p132,2020,27.6
p134,2020,49.4
p2,2020,3.2
p25,2020,279.0
p28,2020,160.0
p29,2020,132.5
p31,2020,62.1
p33,2020,2.8
p34,2020,79.6
p41,2020,4.4
p42,2020,9.8
p43,2020,100.9
p5,2020,45.3
p50,2020,10.0
p53,2020,20.0
p57,2020,1062.5
p58,2020,50.0
p63,2020,30.0
p66,2020,980.8
p68,2020,13.4
p7,2020,130.4
p70,2020,4.6
p75,2020,173.2
p79,2020,2.3
p80,2020,22.8
p81,2020,8.8
p83,2020,51.7
p85,2020,103.5
p9,2020,1.0
p92,2020,1.5
p94,2020,730.1
p96,2020,455.3
p97,2020,39.7
p98,2020,581.11
p99,2020,514.4
p10,2021,1108.1
p101,2021,283.5
p102,2021,820.3
p103,2021,126.9
p105,2021,78.3
p107,2021,250.4
