region,year,capacity
p33,2014,1.6
p34,2014,3.1
p47,2014,59.8
p66,2014,54.3
p7,2014,2.9
p72,2014,9.4
p80,2014,0.3
p84,2014,2.8
p9,2014,0.25
p92,2014,31.6
p94,2014,12.1
p97,2014,55.9
p98,2014,320.7
p10,2015,1113.2
p101,2015,9.5
p103,2015,1.0
p105,2015,11.8
p107,2015,22.7
p11,2015,97.8
p111,2015,5.1
p12,2015,186.22
p123,2015,46.2
p125,2015,1.2
p126,2015,63.6
p127,2015,24.0
p129,2015,2.0
p13,2015,45.18
p131,2015,29.12
p25,2015,154.0
p26,2015,11.1
p28,2015,61.0
p29,2015,59.6
p31,2015,26.8
p33,2015,4.0
p34,2015,61.9
p43,2015,2.3
p47,2015,33.2
p50,2015,2.5
p53,2015,0.9
p57,2015,30.2
p66,2015,108.7
p7,2015,5.0
p72,2015,5.6
p80,2015,0.9
p83,2015,4.7
p85,2015,12.0
p9,2015,7.2
p90,2015,30.0
p94,2015,145.5
p97,2015,58.3
p98,2015,835.9
p10,2016,2400.7
p101,2016,94.3
p102,2016,149.0
p103,2016,10.9
p105,2016,20.4
p107,2016,11.8
p11,2016,119.7
p110,2016,10.0
p111,2016,4.5
p12,2016,501.8
p121,2016,2.1
p122,2016,5.0
p123,2016,45.1
p126,2016,91.2
p127,2016,39.2
p129,2016,24.7
p13,2016,127.8
p131,2016,52.0
p132,2016,14.2
p16,2016,120.0
p25,2016,616.4
p26,2016,73.0
p28,2016,216.24
p29,2016,163.16
p33,2016,41.0
p34,2016,185.8
p38,2016,1.0
p41,2016,6.3
p42,2016,9.0
p43,2016,238.9
p47,2016,164.4
p5,2016,27.3
p57,2016,262.5
p58,2016,1.1
p63,2016,1.0
p68,2016,9.9
p7,2016,53.7
p70,2016,4.1
p72,2016,5.6
p79,2016,2.1
p83,2016,2.0
p84,2016,5.8
p85,2016,1.0
p88,2016,3.1
p90,2016,75.0
p92,2016,24.0
p94,2016,724.4
p96,2016,16.8
p97,2016,45.5
p98,2016,721.4
p99,2016,139.0
p10,2017,851.09
p101,2017,192.6
p103,2017,61.5
p105,2017,14.82
p107,2017,21.38
p11,2017,27.2
p110,2017,15.2
p111,2017,20.0
p112,2017,4.9
p12,2017,482.1
p121,2017,1.0
p123,2017,4.0
p125,2017,1.2
p126,2017,43.9
p127,2017,46.1
p129,2017,8.5
p131,2017,91.0
p132,2017,11.0
p134,2017,15.5
p16,2017,120.0
p26,2017,1.3
p28,2017,66.4
p29,2017,37.0
p33,2017,6.5
p34,2017,33.6
p35,2017,17.0
p41,2017,9.4
p42,2017,7.2
p43,2017,213.2
p47,2017,45.0
p5,2017,65.9
p50,2017,18.0
p53,2017,3.0
p57,2017,382.2
p63,2017,5.0
p66,2017,279.9
p68,2017,31.0
p7,2017,58.4
p70,2017,4.7
p72,2017,7.5
p75,2017,13.3
p79,2017,2.0
p84,2017,10.9
p85,2017,6.0
p88,2017,157.5
p9,2017,0.9
p90,2017,97.2
p92,2017,16.0
p94,2017,14.4
p96,2017,236.3
p97,2017,25.6
p98,2017,967.5
p99,2017,288.6
p10,2018,942.81
p101,2018,729.7
p102,2018,149.4
p103,2018,25.2
p105,2018,7.8
p107,2018,9.4
p11,2018,6.0
p111,2018,3.7
p112,2018,10.4
p12,2018,23.1
p122,2018,4.5
p123,2018,100.9
